Year,Lg,Tm,Abr
1946,AAFC,Chicago Rockets,cra
2015,NFL,Jacksonville Jaguars,jax
2014,NFL,Jacksonville Jaguars,jax
2013,NFL,Jacksonville Jaguars,jax
2012,NFL,Jacksonville Jaguars,jax
2011,NFL,Jacksonville Jaguars,jax
2010,NFL,Jacksonville Jaguars,jax
2009,NFL,Jacksonville Jaguars,jax
2008,NFL,Jacksonville Jaguars,jax
2007,NFL,Jacksonville Jaguars,jax
2006,NFL,Jacksonville Jaguars,jax
2005,NFL,Jacksonville Jaguars,jax
2004,NFL,Jacksonville Jaguars,jax
2003,NFL,Jacksonville Jaguars,jax
2002,NFL,Jacksonville Jaguars,jax
2001,NFL,Jacksonville Jaguars,jax
2000,NFL,Jacksonville Jaguars,jax
1999,NFL,Jacksonville Jaguars,jax
1998,NFL,Jacksonville Jaguars,jax
1997,NFL,Jacksonville Jaguars,jax
1996,NFL,Jacksonville Jaguars,jax
1995,NFL,Jacksonville Jaguars,jax
1949,AAFC,Los Angeles Dons,lda
1948,AAFC,Los Angeles Dons,lda
1947,AAFC,Los Angeles Dons,lda
1946,AAFC,Los Angeles Dons,lda
1931,NFL,Frankford Yellow Jackets,fyj
1930,NFL,Frankford Yellow Jackets,fyj
1929,NFL,Frankford Yellow Jackets,fyj
1928,NFL,Frankford Yellow Jackets,fyj
1927,NFL,Frankford Yellow Jackets,fyj
1926,NFL,Frankford Yellow Jackets,fyj
1925,NFL,Frankford Yellow Jackets,fyj
1924,NFL,Frankford Yellow Jackets,fyj
1926,NFL,Kansas City Cowboys,kcb
1925,NFL,Kansas City Cowboys,kcb
1924,NFL,Kansas City Blues,kcb
2015,NFL,Detroit Lions,det
2014,NFL,Detroit Lions,det
2013,NFL,Detroit Lions,det
2012,NFL,Detroit Lions,det
2011,NFL,Detroit Lions,det
2010,NFL,Detroit Lions,det
2009,NFL,Detroit Lions,det
2008,NFL,Detroit Lions,det
2007,NFL,Detroit Lions,det
2006,NFL,Detroit Lions,det
2005,NFL,Detroit Lions,det
2004,NFL,Detroit Lions,det
2003,NFL,Detroit Lions,det
2002,NFL,Detroit Lions,det
2001,NFL,Detroit Lions,det
2000,NFL,Detroit Lions,det
1999,NFL,Detroit Lions,det
1998,NFL,Detroit Lions,det
1997,NFL,Detroit Lions,det
1996,NFL,Detroit Lions,det
1995,NFL,Detroit Lions,det
1994,NFL,Detroit Lions,det
1993,NFL,Detroit Lions,det
1992,NFL,Detroit Lions,det
1991,NFL,Detroit Lions,det
1990,NFL,Detroit Lions,det
1989,NFL,Detroit Lions,det
1988,NFL,Detroit Lions,det
1987,NFL,Detroit Lions,det
1986,NFL,Detroit Lions,det
1985,NFL,Detroit Lions,det
1984,NFL,Detroit Lions,det
1983,NFL,Detroit Lions,det
1982,NFL,Detroit Lions,det
1981,NFL,Detroit Lions,det
1980,NFL,Detroit Lions,det
1979,NFL,Detroit Lions,det
1978,NFL,Detroit Lions,det
1977,NFL,Detroit Lions,det
1976,NFL,Detroit Lions,det
1975,NFL,Detroit Lions,det
1974,NFL,Detroit Lions,det
1973,NFL,Detroit Lions,det
1972,NFL,Detroit Lions,det
1971,NFL,Detroit Lions,det
1970,NFL,Detroit Lions,det
1969,NFL,Detroit Lions,det
1968,NFL,Detroit Lions,det
1967,NFL,Detroit Lions,det
1966,NFL,Detroit Lions,det
1965,NFL,Detroit Lions,det
1964,NFL,Detroit Lions,det
1963,NFL,Detroit Lions,det
1962,NFL,Detroit Lions,det
1961,NFL,Detroit Lions,det
1960,NFL,Detroit Lions,det
1959,NFL,Detroit Lions,det
1958,NFL,Detroit Lions,det
1957,NFL,Detroit Lions,det
1956,NFL,Detroit Lions,det
1955,NFL,Detroit Lions,det
1954,NFL,Detroit Lions,det
1953,NFL,Detroit Lions,det
1952,NFL,Detroit Lions,det
1951,NFL,Detroit Lions,det
1950,NFL,Detroit Lions,det
1949,NFL,Detroit Lions,det
1948,NFL,Detroit Lions,det
1947,NFL,Detroit Lions,det
1946,NFL,Detroit Lions,det
1945,NFL,Detroit Lions,det
1944,NFL,Detroit Lions,det
1943,NFL,Detroit Lions,det
1942,NFL,Detroit Lions,det
1941,NFL,Detroit Lions,det
1940,NFL,Detroit Lions,det
1939,NFL,Detroit Lions,det
1938,NFL,Detroit Lions,det
1937,NFL,Detroit Lions,det
1936,NFL,Detroit Lions,det
1935,NFL,Detroit Lions,det
1934,NFL,Detroit Lions,det
1933,NFL,Portsmouth Spartans,det
1932,NFL,Portsmouth Spartans,det
1931,NFL,Portsmouth Spartans,det
1930,NFL,Portsmouth Spartans,det
1934,NFL,Cincinnati Reds,red
1933,NFL,Cincinnati Reds,red
2015,NFL,Indianapolis Colts,clt
2014,NFL,Indianapolis Colts,clt
2013,NFL,Indianapolis Colts,clt
2012,NFL,Indianapolis Colts,clt
2011,NFL,Indianapolis Colts,clt
2010,NFL,Indianapolis Colts,clt
2009,NFL,Indianapolis Colts,clt
2008,NFL,Indianapolis Colts,clt
2007,NFL,Indianapolis Colts,clt
2006,NFL,Indianapolis Colts,clt
2005,NFL,Indianapolis Colts,clt
2004,NFL,Indianapolis Colts,clt
2003,NFL,Indianapolis Colts,clt
2002,NFL,Indianapolis Colts,clt
2001,NFL,Indianapolis Colts,clt
2000,NFL,Indianapolis Colts,clt
1999,NFL,Indianapolis Colts,clt
1998,NFL,Indianapolis Colts,clt
1997,NFL,Indianapolis Colts,clt
1996,NFL,Indianapolis Colts,clt
1995,NFL,Indianapolis Colts,clt
1994,NFL,Indianapolis Colts,clt
1993,NFL,Indianapolis Colts,clt
1992,NFL,Indianapolis Colts,clt
1991,NFL,Indianapolis Colts,clt
1990,NFL,Indianapolis Colts,clt
1989,NFL,Indianapolis Colts,clt
1988,NFL,Indianapolis Colts,clt
1987,NFL,Indianapolis Colts,clt
1986,NFL,Indianapolis Colts,clt
1985,NFL,Indianapolis Colts,clt
1984,NFL,Indianapolis Colts,clt
1983,NFL,Baltimore Colts,clt
1982,NFL,Baltimore Colts,clt
1981,NFL,Baltimore Colts,clt
1980,NFL,Baltimore Colts,clt
1979,NFL,Baltimore Colts,clt
1978,NFL,Baltimore Colts,clt
1977,NFL,Baltimore Colts,clt
1976,NFL,Baltimore Colts,clt
1975,NFL,Baltimore Colts,clt
1974,NFL,Baltimore Colts,clt
1973,NFL,Baltimore Colts,clt
1972,NFL,Baltimore Colts,clt
1971,NFL,Baltimore Colts,clt
1970,NFL,Baltimore Colts,clt
1969,NFL,Baltimore Colts,clt
1968,NFL,Baltimore Colts,clt
1967,NFL,Baltimore Colts,clt
1966,NFL,Baltimore Colts,clt
1965,NFL,Baltimore Colts,clt
1964,NFL,Baltimore Colts,clt
1963,NFL,Baltimore Colts,clt
1962,NFL,Baltimore Colts,clt
1961,NFL,Baltimore Colts,clt
1960,NFL,Baltimore Colts,clt
1959,NFL,Baltimore Colts,clt
1958,NFL,Baltimore Colts,clt
1957,NFL,Baltimore Colts,clt
1956,NFL,Baltimore Colts,clt
1955,NFL,Baltimore Colts,clt
1954,NFL,Baltimore Colts,clt
1953,NFL,Baltimore Colts,clt
1950,NFL,Baltimore Colts,bcl
1949,AAFC,Baltimore Colts,bcl
1948,AAFC,Baltimore Colts,bcl
1947,AAFC,Baltimore Colts,bcl
1952,NFL,Dallas Texans,dtx
1920,APFA,Detroit Heralds,dhr
2015,NFL,Minnesota Vikings,min
2014,NFL,Minnesota Vikings,min
2013,NFL,Minnesota Vikings,min
2012,NFL,Minnesota Vikings,min
2011,NFL,Minnesota Vikings,min
2010,NFL,Minnesota Vikings,min
2009,NFL,Minnesota Vikings,min
2008,NFL,Minnesota Vikings,min
2007,NFL,Minnesota Vikings,min
2006,NFL,Minnesota Vikings,min
2005,NFL,Minnesota Vikings,min
2004,NFL,Minnesota Vikings,min
2003,NFL,Minnesota Vikings,min
2002,NFL,Minnesota Vikings,min
2001,NFL,Minnesota Vikings,min
2000,NFL,Minnesota Vikings,min
1999,NFL,Minnesota Vikings,min
1998,NFL,Minnesota Vikings,min
1997,NFL,Minnesota Vikings,min
1996,NFL,Minnesota Vikings,min
1995,NFL,Minnesota Vikings,min
1994,NFL,Minnesota Vikings,min
1993,NFL,Minnesota Vikings,min
1992,NFL,Minnesota Vikings,min
1991,NFL,Minnesota Vikings,min
1990,NFL,Minnesota Vikings,min
1989,NFL,Minnesota Vikings,min
1988,NFL,Minnesota Vikings,min
1987,NFL,Minnesota Vikings,min
1986,NFL,Minnesota Vikings,min
1985,NFL,Minnesota Vikings,min
1984,NFL,Minnesota Vikings,min
1983,NFL,Minnesota Vikings,min
1982,NFL,Minnesota Vikings,min
1981,NFL,Minnesota Vikings,min
1980,NFL,Minnesota Vikings,min
1979,NFL,Minnesota Vikings,min
1978,NFL,Minnesota Vikings,min
1977,NFL,Minnesota Vikings,min
1976,NFL,Minnesota Vikings,min
1975,NFL,Minnesota Vikings,min
1974,NFL,Minnesota Vikings,min
1973,NFL,Minnesota Vikings,min
1972,NFL,Minnesota Vikings,min
1971,NFL,Minnesota Vikings,min
1970,NFL,Minnesota Vikings,min
1969,NFL,Minnesota Vikings,min
1968,NFL,Minnesota Vikings,min
1967,NFL,Minnesota Vikings,min
1966,NFL,Minnesota Vikings,min
1965,NFL,Minnesota Vikings,min
1964,NFL,Minnesota Vikings,min
1963,NFL,Minnesota Vikings,min
1962,NFL,Minnesota Vikings,min
1961,NFL,Minnesota Vikings,min
1926,NFL,Columbus Tigers,col
1925,NFL,Columbus Tigers,col
1924,NFL,Columbus Tigers,col
1923,NFL,Columbus Tigers,col
1922,NFL,Columbus Panhandles,col
1921,APFA,Columbus Panhandles,col
1920,APFA,Columbus Panhandles,col
2015,NFL,Tennessee Titans,oti
2014,NFL,Tennessee Titans,oti
2013,NFL,Tennessee Titans,oti
2012,NFL,Tennessee Titans,oti
2011,NFL,Tennessee Titans,oti
2010,NFL,Tennessee Titans,oti
2009,NFL,Tennessee Titans,oti
2008,NFL,Tennessee Titans,oti
2007,NFL,Tennessee Titans,oti
2006,NFL,Tennessee Titans,oti
2005,NFL,Tennessee Titans,oti
2004,NFL,Tennessee Titans,oti
2003,NFL,Tennessee Titans,oti
2002,NFL,Tennessee Titans,oti
2001,NFL,Tennessee Titans,oti
2000,NFL,Tennessee Titans,oti
1999,NFL,Tennessee Titans,oti
1998,NFL,Tennessee Oilers,oti
1997,NFL,Tennessee Oilers,oti
1996,NFL,Houston Oilers,oti
1995,NFL,Houston Oilers,oti
1994,NFL,Houston Oilers,oti
1993,NFL,Houston Oilers,oti
1992,NFL,Houston Oilers,oti
1991,NFL,Houston Oilers,oti
1990,NFL,Houston Oilers,oti
1989,NFL,Houston Oilers,oti
1988,NFL,Houston Oilers,oti
1987,NFL,Houston Oilers,oti
1986,NFL,Houston Oilers,oti
1985,NFL,Houston Oilers,oti
1984,NFL,Houston Oilers,oti
1983,NFL,Houston Oilers,oti
1982,NFL,Houston Oilers,oti
1981,NFL,Houston Oilers,oti
1980,NFL,Houston Oilers,oti
1979,NFL,Houston Oilers,oti
1978,NFL,Houston Oilers,oti
1977,NFL,Houston Oilers,oti
1976,NFL,Houston Oilers,oti
1975,NFL,Houston Oilers,oti
1974,NFL,Houston Oilers,oti
1973,NFL,Houston Oilers,oti
1972,NFL,Houston Oilers,oti
1971,NFL,Houston Oilers,oti
1970,NFL,Houston Oilers,oti
1969,AFL,Houston Oilers,oti
1968,AFL,Houston Oilers,oti
1967,AFL,Houston Oilers,oti
1966,AFL,Houston Oilers,oti
1965,AFL,Houston Oilers,oti
1964,AFL,Houston Oilers,oti
1963,AFL,Houston Oilers,oti
1962,AFL,Houston Oilers,oti
1961,AFL,Houston Oilers,oti
1960,AFL,Houston Oilers,oti
1923,NFL,St. Louis All-Stars,sla
1930,NFL,Minneapolis Red Jackets,mnn
1929,NFL,Minneapolis Red Jackets,mnn
1924,NFL,Minneapolis Marines,mnn
1923,NFL,Minneapolis Marines,mnn
1922,NFL,Minneapolis Marines,mnn
1921,APFA,Minneapolis Marines,mnn
2015,NFL,Arizona Cardinals,crd
2014,NFL,Arizona Cardinals,crd
2013,NFL,Arizona Cardinals,crd
2012,NFL,Arizona Cardinals,crd
2011,NFL,Arizona Cardinals,crd
2010,NFL,Arizona Cardinals,crd
2009,NFL,Arizona Cardinals,crd
2008,NFL,Arizona Cardinals,crd
2007,NFL,Arizona Cardinals,crd
2006,NFL,Arizona Cardinals,crd
2005,NFL,Arizona Cardinals,crd
2004,NFL,Arizona Cardinals,crd
2003,NFL,Arizona Cardinals,crd
2002,NFL,Arizona Cardinals,crd
2001,NFL,Arizona Cardinals,crd
2000,NFL,Arizona Cardinals,crd
1999,NFL,Arizona Cardinals,crd
1998,NFL,Arizona Cardinals,crd
1997,NFL,Arizona Cardinals,crd
1996,NFL,Arizona Cardinals,crd
1995,NFL,Arizona Cardinals,crd
1994,NFL,Arizona Cardinals,crd
1993,NFL,Phoenix Cardinals,crd
1992,NFL,Phoenix Cardinals,crd
1991,NFL,Phoenix Cardinals,crd
1990,NFL,Phoenix Cardinals,crd
1989,NFL,Phoenix Cardinals,crd
1988,NFL,Phoenix Cardinals,crd
1987,NFL,St. Louis Cardinals,crd
1986,NFL,St. Louis Cardinals,crd
1985,NFL,St. Louis Cardinals,crd
1984,NFL,St. Louis Cardinals,crd
1983,NFL,St. Louis Cardinals,crd
1982,NFL,St. Louis Cardinals,crd
1981,NFL,St. Louis Cardinals,crd
1980,NFL,St. Louis Cardinals,crd
1979,NFL,St. Louis Cardinals,crd
1978,NFL,St. Louis Cardinals,crd
1977,NFL,St. Louis Cardinals,crd
1976,NFL,St. Louis Cardinals,crd
1975,NFL,St. Louis Cardinals,crd
1974,NFL,St. Louis Cardinals,crd
1973,NFL,St. Louis Cardinals,crd
1972,NFL,St. Louis Cardinals,crd
1971,NFL,St. Louis Cardinals,crd
1970,NFL,St. Louis Cardinals,crd
1969,NFL,St. Louis Cardinals,crd
1968,NFL,St. Louis Cardinals,crd
1967,NFL,St. Louis Cardinals,crd
1966,NFL,St. Louis Cardinals,crd
1965,NFL,St. Louis Cardinals,crd
1964,NFL,St. Louis Cardinals,crd
1963,NFL,St. Louis Cardinals,crd
1962,NFL,St. Louis Cardinals,crd
1961,NFL,St. Louis Cardinals,crd
1960,NFL,St. Louis Cardinals,crd
1959,NFL,Chicago Cardinals,crd
1958,NFL,Chicago Cardinals,crd
1957,NFL,Chicago Cardinals,crd
1956,NFL,Chicago Cardinals,crd
1955,NFL,Chicago Cardinals,crd
1954,NFL,Chicago Cardinals,crd
1953,NFL,Chicago Cardinals,crd
1952,NFL,Chicago Cardinals,crd
1951,NFL,Chicago Cardinals,crd
1950,NFL,Chicago Cardinals,crd
1949,NFL,Chicago Cardinals,crd
1948,NFL,Chicago Cardinals,crd
1947,NFL,Chicago Cardinals,crd
1946,NFL,Chicago Cardinals,crd
1945,NFL,Chicago Cardinals,crd
1944,NFL,Chi/Pit Cards/Steelers,crd
1943,NFL,Chicago Cardinals,crd
1942,NFL,Chicago Cardinals,crd
1941,NFL,Chicago Cardinals,crd
1940,NFL,Chicago Cardinals,crd
1939,NFL,Chicago Cardinals,crd
1938,NFL,Chicago Cardinals,crd
1937,NFL,Chicago Cardinals,crd
1936,NFL,Chicago Cardinals,crd
1935,NFL,Chicago Cardinals,crd
1934,NFL,Chicago Cardinals,crd
1933,NFL,Chicago Cardinals,crd
1932,NFL,Chicago Cardinals,crd
1931,NFL,Chicago Cardinals,crd
1930,NFL,Chicago Cardinals,crd
1929,NFL,Chicago Cardinals,crd
1928,NFL,Chicago Cardinals,crd
1927,NFL,Chicago Cardinals,crd
1926,NFL,Chicago Cardinals,crd
1925,NFL,Chicago Cardinals,crd
1924,NFL,Chicago Cardinals,crd
1923,NFL,Chicago Cardinals,crd
1922,NFL,Chicago Cardinals,crd
1921,APFA,Chicago Cardinals,crd
1920,APFA,Chicago Cardinals,crd
1926,NFL,Los Angeles Buccaneers,lab
2015,NFL,Pittsburgh Steelers,pit
2014,NFL,Pittsburgh Steelers,pit
2013,NFL,Pittsburgh Steelers,pit
2012,NFL,Pittsburgh Steelers,pit
2011,NFL,Pittsburgh Steelers,pit
2010,NFL,Pittsburgh Steelers,pit
2009,NFL,Pittsburgh Steelers,pit
2008,NFL,Pittsburgh Steelers,pit
2007,NFL,Pittsburgh Steelers,pit
2006,NFL,Pittsburgh Steelers,pit
2005,NFL,Pittsburgh Steelers,pit
2004,NFL,Pittsburgh Steelers,pit
2003,NFL,Pittsburgh Steelers,pit
2002,NFL,Pittsburgh Steelers,pit
2001,NFL,Pittsburgh Steelers,pit
2000,NFL,Pittsburgh Steelers,pit
1999,NFL,Pittsburgh Steelers,pit
1998,NFL,Pittsburgh Steelers,pit
1997,NFL,Pittsburgh Steelers,pit
1996,NFL,Pittsburgh Steelers,pit
1995,NFL,Pittsburgh Steelers,pit
1994,NFL,Pittsburgh Steelers,pit
1993,NFL,Pittsburgh Steelers,pit
1992,NFL,Pittsburgh Steelers,pit
1991,NFL,Pittsburgh Steelers,pit
1990,NFL,Pittsburgh Steelers,pit
1989,NFL,Pittsburgh Steelers,pit
1988,NFL,Pittsburgh Steelers,pit
1987,NFL,Pittsburgh Steelers,pit
1986,NFL,Pittsburgh Steelers,pit
1985,NFL,Pittsburgh Steelers,pit
1984,NFL,Pittsburgh Steelers,pit
1983,NFL,Pittsburgh Steelers,pit
1982,NFL,Pittsburgh Steelers,pit
1981,NFL,Pittsburgh Steelers,pit
1980,NFL,Pittsburgh Steelers,pit
1979,NFL,Pittsburgh Steelers,pit
1978,NFL,Pittsburgh Steelers,pit
1977,NFL,Pittsburgh Steelers,pit
1976,NFL,Pittsburgh Steelers,pit
1975,NFL,Pittsburgh Steelers,pit
1974,NFL,Pittsburgh Steelers,pit
1973,NFL,Pittsburgh Steelers,pit
1972,NFL,Pittsburgh Steelers,pit
1971,NFL,Pittsburgh Steelers,pit
1970,NFL,Pittsburgh Steelers,pit
1969,NFL,Pittsburgh Steelers,pit
1968,NFL,Pittsburgh Steelers,pit
1967,NFL,Pittsburgh Steelers,pit
1966,NFL,Pittsburgh Steelers,pit
1965,NFL,Pittsburgh Steelers,pit
1964,NFL,Pittsburgh Steelers,pit
1963,NFL,Pittsburgh Steelers,pit
1962,NFL,Pittsburgh Steelers,pit
1961,NFL,Pittsburgh Steelers,pit
1960,NFL,Pittsburgh Steelers,pit
1959,NFL,Pittsburgh Steelers,pit
1958,NFL,Pittsburgh Steelers,pit
1957,NFL,Pittsburgh Steelers,pit
1956,NFL,Pittsburgh Steelers,pit
1955,NFL,Pittsburgh Steelers,pit
1954,NFL,Pittsburgh Steelers,pit
1953,NFL,Pittsburgh Steelers,pit
1952,NFL,Pittsburgh Steelers,pit
1951,NFL,Pittsburgh Steelers,pit
1950,NFL,Pittsburgh Steelers,pit
1949,NFL,Pittsburgh Steelers,pit
1948,NFL,Pittsburgh Steelers,pit
1947,NFL,Pittsburgh Steelers,pit
1946,NFL,Pittsburgh Steelers,pit
1945,NFL,Pittsburgh Steelers,pit
1942,NFL,Pittsburgh Steelers,pit
1941,NFL,Pittsburgh Steelers,pit
1940,NFL,Pittsburgh Steelers,pit
1939,NFL,Pittsburgh Pirates,pit
1938,NFL,Pittsburgh Pirates,pit
1937,NFL,Pittsburgh Pirates,pit
1936,NFL,Pittsburgh Pirates,pit
1935,NFL,Pittsburgh Pirates,pit
1934,NFL,Pittsburgh Pirates,pit
1933,NFL,Pittsburgh Pirates,pit
1921,APFA,Detroit Tigers,dti
1923,NFL,Oorang Indians,oor
1922,NFL,Oorang Indians,oor
2015,NFL,Baltimore Ravens,rav
2014,NFL,Baltimore Ravens,rav
2013,NFL,Baltimore Ravens,rav
2012,NFL,Baltimore Ravens,rav
2011,NFL,Baltimore Ravens,rav
2010,NFL,Baltimore Ravens,rav
2009,NFL,Baltimore Ravens,rav
2008,NFL,Baltimore Ravens,rav
2007,NFL,Baltimore Ravens,rav
2006,NFL,Baltimore Ravens,rav
2005,NFL,Baltimore Ravens,rav
2004,NFL,Baltimore Ravens,rav
2003,NFL,Baltimore Ravens,rav
2002,NFL,Baltimore Ravens,rav
2001,NFL,Baltimore Ravens,rav
2000,NFL,Baltimore Ravens,rav
1999,NFL,Baltimore Ravens,rav
1998,NFL,Baltimore Ravens,rav
1997,NFL,Baltimore Ravens,rav
1996,NFL,Baltimore Ravens,rav
1948,AAFC,Brooklyn Dodgers,bda
1947,AAFC,Brooklyn Dodgers,bda
1946,AAFC,Brooklyn Dodgers,bda
2015,NFL,Carolina Panthers,car
2014,NFL,Carolina Panthers,car
2013,NFL,Carolina Panthers,car
2012,NFL,Carolina Panthers,car
2011,NFL,Carolina Panthers,car
2010,NFL,Carolina Panthers,car
2009,NFL,Carolina Panthers,car
2008,NFL,Carolina Panthers,car
2007,NFL,Carolina Panthers,car
2006,NFL,Carolina Panthers,car
2005,NFL,Carolina Panthers,car
2004,NFL,Carolina Panthers,car
2003,NFL,Carolina Panthers,car
2002,NFL,Carolina Panthers,car
2001,NFL,Carolina Panthers,car
2000,NFL,Carolina Panthers,car
1999,NFL,Carolina Panthers,car
1998,NFL,Carolina Panthers,car
1997,NFL,Carolina Panthers,car
1996,NFL,Carolina Panthers,car
1995,NFL,Carolina Panthers,car
1948,NFL,Boston Yanks,byk
1947,NFL,Boston Yanks,byk
1946,NFL,Boston Yanks,byk
1945,NFL,Bos/Bkn Yanks/Tigers,byk
1944,NFL,Boston Yanks,byk
1923,NFL,Toledo Maroons,tol
1922,NFL,Toledo Maroons,tol
2015,NFL,San Diego Chargers,sdg
2014,NFL,San Diego Chargers,sdg
2013,NFL,San Diego Chargers,sdg
2012,NFL,San Diego Chargers,sdg
2011,NFL,San Diego Chargers,sdg
2010,NFL,San Diego Chargers,sdg
2009,NFL,San Diego Chargers,sdg
2008,NFL,San Diego Chargers,sdg
2007,NFL,San Diego Chargers,sdg
2006,NFL,San Diego Chargers,sdg
2005,NFL,San Diego Chargers,sdg
2004,NFL,San Diego Chargers,sdg
2003,NFL,San Diego Chargers,sdg
2002,NFL,San Diego Chargers,sdg
2001,NFL,San Diego Chargers,sdg
2000,NFL,San Diego Chargers,sdg
1999,NFL,San Diego Chargers,sdg
1998,NFL,San Diego Chargers,sdg
1997,NFL,San Diego Chargers,sdg
1996,NFL,San Diego Chargers,sdg
1995,NFL,San Diego Chargers,sdg
1994,NFL,San Diego Chargers,sdg
1993,NFL,San Diego Chargers,sdg
1992,NFL,San Diego Chargers,sdg
1991,NFL,San Diego Chargers,sdg
1990,NFL,San Diego Chargers,sdg
1989,NFL,San Diego Chargers,sdg
1988,NFL,San Diego Chargers,sdg
1987,NFL,San Diego Chargers,sdg
1986,NFL,San Diego Chargers,sdg
1985,NFL,San Diego Chargers,sdg
1984,NFL,San Diego Chargers,sdg
1983,NFL,San Diego Chargers,sdg
1982,NFL,San Diego Chargers,sdg
1981,NFL,San Diego Chargers,sdg
1980,NFL,San Diego Chargers,sdg
1979,NFL,San Diego Chargers,sdg
1978,NFL,San Diego Chargers,sdg
1977,NFL,San Diego Chargers,sdg
1976,NFL,San Diego Chargers,sdg
1975,NFL,San Diego Chargers,sdg
1974,NFL,San Diego Chargers,sdg
1973,NFL,San Diego Chargers,sdg
1972,NFL,San Diego Chargers,sdg
1971,NFL,San Diego Chargers,sdg
1970,NFL,San Diego Chargers,sdg
1969,AFL,San Diego Chargers,sdg
1968,AFL,San Diego Chargers,sdg
1967,AFL,San Diego Chargers,sdg
1966,AFL,San Diego Chargers,sdg
1965,AFL,San Diego Chargers,sdg
1964,AFL,San Diego Chargers,sdg
1963,AFL,San Diego Chargers,sdg
1962,AFL,San Diego Chargers,sdg
1961,AFL,San Diego Chargers,sdg
1960,AFL,Los Angeles Chargers,sdg
